"division","semana","fecha","tipo_personal","n_trabajador_promedio_faena","casos_vigentes_minsal_acumulados","casos_vigentes_codelco_acumulados","total_casos_nuevos_confirmados_sint","total_casos_nuevos_confirmados_asint","total_pcr_realizadas","total_pcr_positivas","total_anticuerpo_realizadas","total_anticuerpo_positivas","total_antigeno_realizadas","total_antigeno_positivas","total_antigeno_pcr_positivas","n_contagio_laboral","total_casos_nuevos"
"VP","29",2020-07-17,"Propios","857","5","9","0","0",NA,NA,"0","0","94","0",NA,NA,0
"VP","29",2020-07-17,"Contratistas","3200","90","204","5","1",NA,"6","0","0","12","1",NA,NA,6
"VP","29",2020-07-18,"Propios","857","5","9","0","0",NA,NA,NA,NA,NA,NA,NA,NA,0
"VP","29",2020-07-18,"Contratistas","3200","81","203","0","5",NA,"5","0","0","0","0",NA,NA,5
"VP","29",2020-07-19,"Propios","857","5","9","0","0",NA,NA,NA,NA,"4","0",NA,NA,0
"VP","29",2020-07-19,"Contratistas","3200","70","206","0","4",NA,"4","0","0","49","0",NA,NA,4
"CM","30",2020-07-20,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","30",2020-07-20,"Contratistas","193","0","3","0","0","0","0","0","0","0","0","0","0",0
"CM","30",2020-07-21,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","30",2020-07-21,"Contratistas","193","0","3","0","0","0","0","0","0","0","0","0","0",0
"CM","30",2020-07-22,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","30",2020-07-22,"Contratistas","193","0","2","0","0","0","0","0","0","0","0","0","0",0
"CM","30",2020-07-23,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","30",2020-07-23,"Contratistas","193","0","2","0","0","0","0","0","0","0","0","0","0",0
"CM","30",2020-07-24,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","30",2020-07-24,"Contratistas","193","0","2","0","0","0","0","0","0","0","0","0","0",0
"CM","30",2020-07-25,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","30",2020-07-25,"Contratistas","193","0","2","0","0","0","0","0","0","0","0","0","0",0
"CM","30",2020-07-26,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","30",2020-07-26,"Contratistas","193","0","2","0","0","0","0","0","0","0","0","0","0",0
"DAND","30",2020-07-20,"Propios","1450","10","13","0","0","0","0","1","0","53","0","0","0",0
"DAND","30",2020-07-20,"Contratistas","4500","19","35","0","0","0","0","4","0","77","0","0","0",0
"DAND","30",2020-07-21,"Propios","1450","5","10","0","0","1","0","4","0","202","1","0","0",0
"DAND","30",2020-07-21,"Contratistas","4500","32","41","7","1","2","0","35","1","46","0","0","7",8
"DAND","30",2020-07-22,"Propios","1450","4","9","0","0","0","0","0","0","11","0","0","0",0
"DAND","30",2020-07-22,"Contratistas","4500","32","40","0","1","2","0","4","0","80","0","0","0",1
"DAND","30",2020-07-23,"Propios","1450","5","10","1","0","1","0","6","1","202","0","0","0",1
"DAND","30",2020-07-23,"Contratistas","4500","32","40","0","0","1","1","68","0","32","0","0","0",0
"DAND","30",2020-07-24,"Propios","1450","5","10","0","0","2","0","0","0","18","0","0","0",0
"DAND","30",2020-07-24,"Contratistas","4500","32","39","0","0","0","0","0","0","100","0","0","0",0
"DAND","30",2020-07-25,"Propios","1450","5","10","0","0","1","0","3","0","158","1","0","0",0
"DAND","30",2020-07-25,"Contratistas","4500","34","41","1","1","0","0","1","0","61","0","0","0",2
"DAND","30",2020-07-26,"Propios","1450","2","10","0","0","1","0","1","0","84","0","0","0",0
"DAND","30",2020-07-26,"Contratistas","4500","21","40","0","0","1","0","0","0","71","0","0","0",0
"DCH","30",2020-07-20,"Propios",NA,"533","603","0","0","53","0","0","0","93","1","0",NA,0
"DCH","30",2020-07-20,"Contratistas",NA,"104","160","3","2","8","1","34","2","66","0","0",NA,5
