"division","semana","fecha","tipo_personal","n_trabajador_promedio_faena","casos_vigentes_minsal_acumulados","casos_vigentes_codelco_acumulados","total_casos_nuevos_confirmados_sint","total_casos_nuevos_confirmados_asint","total_pcr_realizadas","total_pcr_positivas","total_anticuerpo_realizadas","total_anticuerpo_positivas","total_antigeno_realizadas","total_antigeno_positivas","total_antigeno_pcr_positivas","n_contagio_laboral","total_casos_nuevos","sem_epidem","casos_nuevos_division_x10000","porc_casos_acum_codelco_division"
"VP","29",2020-07-13,"Propios",857,"5","10","0","0",NA,NA,"0",NA,"0",NA,NA,NA,0,"29",0,1.17
"VP","29",2020-07-13,"Contratistas",3200,"102","236","2","3",NA,"5","0",NA,"0",NA,NA,NA,5,"29",15.62,7.38
"VP","29",2020-07-14,"Propios",857,"5","9","0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"29",0,1.05
"VP","29",2020-07-14,"Contratistas",3200,"96","200","2","1",NA,"3","19","0","0","0",NA,NA,3,"29",9.38,6.25
"VP","29",2020-07-15,"Propios",857,"5","9","0","0",NA,NA,"0","0","26","0",NA,NA,0,"29",0,1.05
"VP","29",2020-07-15,"Contratistas",3200,"96","208","7","3",NA,"10","1","1","720","5",NA,NA,10,"29",31.25,6.5
"VP","29",2020-07-16,"Propios",857,"5","9","0","0",NA,NA,"0","0","0","0",NA,NA,0,"29",0,1.05
"VP","29",2020-07-16,"Contratistas",3200,"91","207","1","1",NA,"2","2","0","0","0",NA,NA,2,"29",6.25,6.47
"VP","29",2020-07-17,"Propios",857,"5","9","0","0",NA,NA,"0","0","94","0",NA,NA,0,"29",0,1.05
"VP","29",2020-07-17,"Contratistas",3200,"90","204","5","1",NA,"6","0","0","12","1",NA,NA,6,"29",18.75,6.38
"VP","29",2020-07-18,"Propios",857,"5","9","0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"29",0,1.05
"VP","29",2020-07-18,"Contratistas",3200,"81","203","0","5",NA,"5","0","0","0","0",NA,NA,5,"29",15.62,6.34
"VP","29",2020-07-19,"Propios",857,"5","9","0","0",NA,NA,NA,NA,"4","0",NA,NA,0,"30",0,1.05
"VP","29",2020-07-19,"Contratistas",3200,"70","206","0","4",NA,"4","0","0","49","0",NA,NA,4,"30",12.5,6.44
"CM","30",2020-07-20,"Propios",537,"0","0","0","0","0","0","0","0","0","0","0","0",0,"30",0,0
"CM","30",2020-07-20,"Contratistas",193,"0","3","0","0","0","0","0","0","0","0","0","0",0,"30",0,1.55
"CM","30",2020-07-21,"Propios",537,"0","0","0","0","0","0","0","0","0","0","0","0",0,"30",0,0
"CM","30",2020-07-21,"Contratistas",193,"0","3","0","0","0","0","0","0","0","0","0","0",0,"30",0,1.55
"CM","30",2020-07-22,"Propios",537,"0","0","0","0","0","0","0","0","0","0","0","0",0,"30",0,0
"CM","30",2020-07-22,"Contratistas",193,"0","2","0","0","0","0","0","0","0","0","0","0",0,"30",0,1.04
"CM","30",2020-07-23,"Propios",537,"0","0","0","0","0","0","0","0","0","0","0","0",0,"30",0,0
"CM","30",2020-07-23,"Contratistas",193,"0","2","0","0","0","0","0","0","0","0","0","0",0,"30",0,1.04
"CM","30",2020-07-24,"Propios",537,"0","0","0","0","0","0","0","0","0","0","0","0",0,"30",0,0
"CM","30",2020-07-24,"Contratistas",193,"0","2","0","0","0","0","0","0","0","0","0","0",0,"30",0,1.04
"CM","30",2020-07-25,"Propios",537,"0","0","0","0","0","0","0","0","0","0","0","0",0,"30",0,0
"CM","30",2020-07-25,"Contratistas",193,"0","2","0","0","0","0","0","0","0","0","0","0",0,"30",0,1.04
"CM","30",2020-07-26,"Propios",537,"0","0","0","0","0","0","0","0","0","0","0","0",0,"31",0,0
"CM","30",2020-07-26,"Contratistas",193,"0","2","0","0","0","0","0","0","0","0","0","0",0,"31",0,1.04
"DAND","30",2020-07-20,"Propios",1450,"10","13","0","0","0","0","1","0","53","0","0","0",0,"30",0,0.9
"DAND","30",2020-07-20,"Contratistas",4500,"19","35","0","0","0","0","4","0","77","0","0","0",0,"30",0,0.78
"DAND","30",2020-07-21,"Propios",1450,"5","10","0","0","1","0","4","0","202","1","0","0",0,"30",0,0.69
"DAND","30",2020-07-21,"Contratistas",4500,"32","41","7","1","2","0","35","1","46","0","0","7",8,"30",17.78,0.91
"DAND","30",2020-07-22,"Propios",1450,"4","9","0","0","0","0","0","0","11","0","0","0",0,"30",0,0.62
"DAND","30",2020-07-22,"Contratistas",4500,"32","40","0","1","2","0","4","0","80","0","0","0",1,"30",2.22,0.89
"DAND","30",2020-07-23,"Propios",1450,"5","10","1","0","1","0","6","1","202","0","0","0",1,"30",6.9,0.69
"DAND","30",2020-07-23,"Contratistas",4500,"32","40","0","0","1","1","68","0","32","0","0","0",0,"30",0,0.89
"DAND","30",2020-07-24,"Propios",1450,"5","10","0","0","2","0","0","0","18","0","0","0",0,"30",0,0.69
"DAND","30",2020-07-24,"Contratistas",4500,"32","39","0","0","0","0","0","0","100","0","0","0",0,"30",0,0.87
"DAND","30",2020-07-25,"Propios",1450,"5","10","0","0","1","0","3","0","158","1","0","0",0,"30",0,0.69
"DAND","30",2020-07-25,"Contratistas",4500,"34","41","1","1","0","0","1","0","61","0","0","0",2,"30",4.44,0.91
"DAND","30",2020-07-26,"Propios",1450,"2","10","0","0","1","0","1","0","84","0","0","0",0,"31",0,0.69
"DAND","30",2020-07-26,"Contratistas",4500,"21","40","0","0","1","0","0","0","71","0","0","0",0,"31",0,0.89
"DCH","30",2020-07-20,"Propios",4899,"533","603","0","0","53","0","0","0","93","1","0",NA,0,"30",0,12.31
